"title" "url"
"1" "藍祖蔚專欄《會計師》：自閉症金童" "v.572 藍祖蔚專欄 拳王阿里在《會計師》（The Accountant）雖只驚鴻一瞥，卻藏有豐富的解碼能量。電影中的畫面沒有偶然與巧合，所有的鋪排都經過算計，為什麼是阿里？形成全片重要的解謎金鑰。"
"2" "《會計師》會計真是好殺的行業啊" "v.572 達人影評 除了很棒的舖陳之外，《會計師》的角色也是它迷人之處，的確可以去思考一些人際互動，不過再怎麼說《會計師》還是娛樂動作片，因為它有超強的主角，就是那種你不用擔心他會死，只要等著看別人怎麼被他宰的那種。"
"3" "《地獄》把小說改得更商業一些" "v.572 達人影評 《地獄》電影被改編得比較能符合電影大眾的口味，比較適合就是喜歡看解謎電影的人。如果沒看過小說沒得比較的電影迷，看起來應該是會覺得，相對其他電影《地獄》真的很有自己的特色和內容。"
"4" "班艾佛列克《會計師》不同凡響的殺手角色" "v.571 封面故事 《會計師》是好萊塢今年十分特別的一部原創作品，將會計師、自閉症與殺手這些貌似無關的題材串聯，加上一些好萊塢觀眾會喜歡的寫實類動作場景，成為一部蠻令人會心一笑、情節感人又刺激的動作電影。"
"5" "揭開同情的醜陋，《怒》的憤怒何來？" "v.571 電影專題 《怒》這麼好的故事與配樂如果結尾沒收得這麼懸疑、沒有戛然而止的力道，怎麼能帶出故事的原意與衝擊？這部電影在各方面都以最完美的手法與力度，想盡辦法，讓這故事中關鍵的「怒」在社會上餘音繞樑。"
"6" "藍祖蔚專欄《四十年》：時光歌聲心跳" "v.571 藍祖蔚專欄 熟悉民歌的你，愛唱民歌的你，看見這張海報，或許就會想起「江湖上來的該走回江湖」的昨天，民歌紀錄片《四十年》則是承繼著「歲月牽得多長，歌就牽得多長」的民歌手精神，要「走回青蛙和草和泥土，走回當初生我的土地」......"
"7" "溫暖的墨西哥電影盛會：莫雷利亞國際電影節" "v.571 電影專題 自2003年起，每年10月墨西哥米卻肯州的首府莫雷利亞，齊聚眾多的墨西哥電影人，為墨西哥的年輕電影工作者們，致力創造一個溫暖交流的環境。"
"8" "《會計師》鐵漢柔情" "v.571 達人影評 《會計師》有點像是傳記電影，是關於一個患有高度自閉症的男人，保護他所愛的人的故事，班艾佛列克將角色詮釋得頗有味道，動作場面不差，同時對自閉症孩童有著基本的認識，每個人都有獨特之處，每個人都渴望被愛。"
"9" "《怒火地平線》在文明消失之前" "v.571 達人影評 當一群實事求是的莽漢與資本家公司站在一起時，誰的專業才是重點？《怒火地平線》的好看在於其真實性，當主角群一直壓抑著問題，以至於最終到達無法解決的境界，甚至有人因此而喪失性命，在最偏遠的遠洋海域，人類終於發現，我們還是很渺小。"
"10" "《怒火地平線》烈燄中的美國" "v.571 達人影評 《怒火地平線》的出色，在於導演前半場情緒的刻意收斂，把粗心大意的事發過程與角色衝突慢慢做到位，是為讓後半場的災難場面更顯爆發力，導演花大篇幅鋪陳人物與事件關係，使得這部災難片沒有流於賣弄奇觀場面的廉價，而是將觀眾的心和主角們綁在一起。"
"11" "《列車上的女孩》希區考克的列車" "v.571 達人影評 《列車上的女孩》就像大衛芬奇向希區考克致敬的《控制》一樣，無論是原作小說家珀拉霍金斯或是導演泰特泰勒，都有自己心目中的希區考克，他的黑色電影像是一道高牆，難以觸及，望之彌堅，卻又讓人想要追趕而上。"
"12" "《暫時停止呼吸》被害人與被害人" "v.571 達人影評 最後反而會對這群竊賊感到同情，你哪裡不闖，怎麼會誤闖這名變態盲眼老人的居家呢？但有趣的地方便在於這裡，雖然《暫時停止呼吸》篇幅短小，但在最短的時間點裡面開展出緊張的無限可能，覺得這個窄小房屋衍生而出的虐殺現場，實在刺激好看極了。"
