"","V1","V2","V3"
"1","縣市地區","日平均太陽能發電量
                                                        kWh/day/kWp","年平均太陽能發電量
                                                        kWh/kWp"
"2","台北","2.71","989"
"3","桃園","2.90","1058"
"4","新竹","3.04","1109"
"5","苗栗","3.28","1197"
"6","台中","3.39","1237"
"7","彰化","3.60","1314"
"8","雲林","3.52","1284"
"9","嘉義","3.50","1277"
"10","台南","3.53","1288"
"11","高雄","3.46","1263"
"12","屏東","3.29","1201"
"13","宜蘭","2.53","923"
"14","花蓮","2.60","949"
"15","台東","3.11","1135"
"16","澎湖","3.38","1233"
"17","金門","3.55","1296"
