100,,,,101,,,,102,,,,103,,,,104,,,,,100-103,,
縣市地區,"年平均太陽能發電量",日平均太陽能發電量,,縣市地區,年平均太陽能發電量,日平均太陽能發電量,,縣市地區,"年平均太陽能發電量","日平均太陽能發電量 ",,縣市,年平均太陽能發電量,日平均太陽能發電量,,縣市,年平均太陽能發電量,日平均太陽能發電量,,,縣市,年平均太陽能發電量,日平均太陽能發電量 
,kWh/kWp,kWh/day/kWp,,,kWh/kWp,kWh/day/kWp,,,kWh/kWp,kWh/day/kWp,,,kWh/kWp,kWh/day/kWp,,,kWh/kWp,kWh/day/kWp,,,,kWh/kWp,kWh/day/kWp
基隆市,,,,基隆市,887,2.42,,基隆市,,,,基隆市,897,2.46,,基隆市,329,2.46,,,基隆市,892,2.44
台北,952,2.61,,台北,950,2.59,,台北,989,2.71,,台北,958,2.63,,台北,935,2.56,,,台北,954,2.61
桃園,992,2.72,,桃園,962,2.64,,桃園,1058,2.9,,桃園,1058,2.9,,桃園,785,2.15,,,桃園,1010,2.77
新竹,981,2.69,,新竹,967,2.65,,新竹,1109,3.04,,新竹,1113,3.05,,新竹,1104,3.03,,,新竹,1040,2.85
苗栗,1080,2.96,,苗栗,1077,2.95,,苗栗,1197,3.28,,苗栗,1209,3.31,,苗栗,1172,3.21,,,苗栗,1143,3.13
台中,1277,3.5,,台中,1233,3.38,,台中,1237,3.39,,台中,1205,3.3,,台中,1262,3.46,,,台中,1219,3.34
彰化,1332,3.65,,彰化,1298,3.55,,彰化,1314,3.6,,彰化,1324,3.63,,彰化,1270,3.48,,,彰化,1311,3.59
南投縣,,,,南投縣,1218,3.33,,南投縣,,,,南投縣,1142,3.13,,南投縣,1162,3.18,,,南投縣,1180,3.23
雲林,1281,3.51,,雲林,1263,3.46,,雲林,1284,3.52,,雲林,1269,3.48,,雲林,1321,3.62,,,雲林,1266,3.47
嘉義,1259,3.45,,嘉義,1269,3.47,,嘉義,1277,3.5,,嘉義,1231,3.37,,嘉義,1137,3.12,,,嘉義,1250,3.42
台南,1343,3.68,,台南,1299,3.56,,台南,1288,3.53,,台南,1285,3.52,,台南,1174,3.22,,,台南,1292,3.54
高雄,1299,3.56,,高雄,1296,3.54,,高雄,1263,3.46,,高雄,1204,3.3,,高雄,1298,3.56,,,高雄,1250,3.42
屏東,1102,3.02,,屏東,1129,3.1,,屏東,1201,3.29,,屏東,1147,3.14,,屏東,1255,3.44,,,屏東,1138,3.12
宜蘭,949,2.6,,宜蘭,905,2.47,,宜蘭,923,2.53,,宜蘭,931,2.55,,宜蘭,925,2.53,,,宜蘭,918,2.51
花蓮,868,2.38,,花蓮,929,2.54,,花蓮,949,2.6,,花蓮,767,2.1,,花蓮,775,2.12,,,花蓮,848,2.32
台東,1065,2.92,,台東,1159,3.16,,台東,1135,3.11,,台東,969,2.66,,台東,1111,3.04,,,台東,1064,2.91
金門,,,,金門,1306,3.58,,金門,1296,3.55,,金門,1140,3.12,,金門,1170,3.21,,,金門,1223,3.35
澎湖縣,1310,3.59,,澎湖縣,1207,3.32,,澎湖縣,1233,3.38,,澎湖縣,1271,3.48,,澎湖縣,1052,2.88,,,澎湖縣,1239,3.4
連江縣,,,,連江縣,922,2.51,,連江縣,,,,連江縣,1148,3.15,,連江縣,,,,,連江縣,1035,2.83
